URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2024.1.20240120,active,"1.2.840.10008.6.1.19",AcquisitionModality,null,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/vbai-imaging-study","DICOM"
http://hl7.org/fhir/ValueSet/action-cardinality-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.807",ActionCardinalityBehavior,ActionCardinalityBehavior,"Defines behavior for an action or a group for how many times that item may be repeated.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-condition-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.815",ActionConditionKind,ActionConditionKind,"Defines the kinds of conditions that can appear on actions.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-grouping-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.799",ActionGroupingBehavior,ActionGroupingBehavior,"Defines organization behavior of a group.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-participant-role,4.0.1,draft,"2.16.840.1.113883.4.642.3.796",ActionParticipantRole,Action participant role,"Either a practitioner role or a relationship type.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol",
http://hl7.org/fhir/ValueSet/action-participant-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.811",ActionParticipantType,ActionParticipantType,"The type of participant for the action.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-precheck-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.805",ActionPrecheckBehavior,ActionPrecheckBehavior,"Defines selection frequency behavior for an action or group.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.813",ActionRelationshipType,ActionRelationshipType,"Defines the types of relationships between actions.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-required-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.803",ActionRequiredBehavior,ActionRequiredBehavior,"Defines expectations around whether an action or action group is required.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-selection-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.801",ActionSelectionBehavior,ActionSelectionBehavior,"Defines selection behavior of a group.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.809",ActionType,ActionType,"The type of action to be performed.","StructureDefinition/vbai-plan-definition,StructureDefinition/vbai-cohort-protocol","THO"
